bla bla NCMS000 1 -
advogado advogado NCMS000 0.975904 09774783-n:0/09775663-n:0/09840963-n:0/10249950-n:0/10623175-n:0
é ser VMIP3S0 1 00339934-v:0/01717851-v:0/02445925-v:0/02597601-v:0/02603699-v:0/02604760-v:0/02614181-v:0/02616386-v:0/02620587-v:0/02627363-v:0/02655135-v:0/02664769-v:0/02702508-v:0/02731024-v:0/02749904-v:0
indispensável indispensável AQ0CS00 1 00903668-a:0/00903894-a:0/01580306-a:0
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
administração administração NCFS000 1 00604523-n:0/00694866-n:0/01084932-n:0/01124794-n:0/01133281-n:0/01135952-n:0/03504723-n:0/04865502-n:0/08050678-n:0/08164585-n:0/08357784-n:0/08381165-n:0/15266265-n:0
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
justiça justiça NCFS000 0.819323 00694681-n:0/00694866-n:0/04826235-n:0/04839154-n:0/04850117-n:0/04850341-n:0/08135342-n:0/10225219-n:0
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
seu seu DP3MSS 0.957305 -
ministério ministério NCMS000 1 03770316-n:0/08113797-n:0/08114004-n:0
privado privar VMP00SM 0.646957 00172732-v:0/01196037-v:0/02313250-v:0/02314275-v:0/02449340-v:0/00952181-a:0/01858094-a:0/01859571-a:0/01859801-a:0/01860580-a:0
, , Fc 1 -
o o DA0MS0 0.950254 -
advogado advogado NCMS000 0.975904 09774783-n:0/09775663-n:0/09840963-n:0/10249950-n:0/10623175-n:0
presta presto AQ0FS00 0.569769 -
serviço_público serviço_público NCMS000 1 -
e e CC 0.999951 -
exerce exercer VMIP3S0 0.999479 00099721-v:0/00606093-v:0/01095218-v:0/01166093-v:0/01774426-v:0/02204564-v:0/02568672-v:0/02595383-v:0/02670890-v:0
função função NCFS000 1 00582388-n:0/00586262-n:0/00719705-n:0/00720565-n:0/00722061-n:0/05074774-n:0/05149325-n:0/06582403-n:0/06891493-n:0/08252467-n:0/09385911-n:0/13525549-n:0/13781164-n:0/13783816-n:0/14515633-n:0
social social AQ0CS00 1 01076634-a:0/02248349-a:0/02252877-a:0/02257141-a:0/02258360-a:0/02798370-a:0/02798597-a:0
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
